연도,시도,무역수지_천USD,수출건수,수출액_천USD,수입건수,수입액_천USD
2020,서울특별시,-94562214,4051644,53331604,9973268,147893818
2020,부산광역시,-1048533,520276,11319928,1847175,12368462
2020,대구광역시,2178651,198412,6264700,1079913,4086048
2020,인천광역시,-889822,2123949,37700815,1768300,38590636
2020,광주광역시,7309204,118808,13771792,625523,6462589
2020,대전광역시,1396816,96354,5018185,717934,3621369
2020,울산광역시,27804888,248995,56090726,534467,28285839
2020,세종특별자치시,116128,31745,1300389,200429,1184261
2020,경기도,-14384066,2294923,115156583,8852128,129540649
2020,충청북도,17863121,266966,24870280,650819,7007160
2020,충청남도,53125452,459069,79571959,869205,26446507
2020,전라남도,4054159,202125,27092267,505425,23038108
2020,경상북도,23739234,435386,37095530,912364,13356296
2020,경상남도,18398674,501384,35893319,1398243,17494645
2020,제주특별자치도,-180934,6740,154962,270700,335896
2020,강원특별자치도,-1125643,48889,2023271,513521,3148914
2020,전북특별자치도,1070161,98655,5841727,564128,4771566
2021,서울특별시,-120776885,5931944,68538224,12006085,189315108
2021,부산광역시,-567214,633984,14816262,2341819,15383476
2021,대구광역시,2693419,275202,7933676,1364222,5240258
2021,인천광역시,-7503011,3017879,45948414,2221238,53451425
2021,광주광역시,8553105,137015,16602861,799406,8049756
2021,대전광역시,1139533,108375,4952668,907140,3813135
2021,울산광역시,33572876,298739,74268500,665147,40695625
2021,세종특별자치시,191922,37603,1532331,255046,1340410
2021,경기도,-24530154,2429472,137831890,11187323,162362045
2021,충청북도,19247420,280480,28765189,839041,9517769
2021,충청남도,66873911,508960,104119537,1107844,37245626
2021,전라남도,5944118,216438,42792948,649216,36848831
2021,경상북도,24912072,457992,44254761,1163981,19342688
2021,경상남도,19617309,601502,41268683,1744469,21651374
2021,제주특별자치도,-192199,7517,225880,386199,418079
2021,강원특별자치도,-1587786,58778,2729879,666646,4317665
2021,전북특별자치도,1718471,104118,7818640,720863,6100168
2022,서울특별시,-146942623,4929160,66906500,12207562,213849123
2022,부산광역시,-626353,671465,16190296,2444489,16816649
2022,대구광역시,2526144,292980,10641153,1446264,8115009
2022,인천광역시,-14026019,1982962,54270298,2345770,68296317
2022,광주광역시,8231665,128057,17946054,842335,9714389
2022,대전광역시,210980,94972,4683660,949571,4472680
2022,울산광역시,37913461,297175,90093463,688442,52180003
2022,세종특별자치시,-76729,32852,1620008,275049,1696738
2022,경기도,-40551203,2932837,137418535,11629241,177969739
2022,충청북도,22246837,283147,32411077,917320,10164240
2022,충청남도,56645849,464567,107495292,1216681,50849443
2022,전라남도,-162254,189973,49435108,725860,49597362
2022,경상북도,25232999,434021,46879110,1275521,21646111
2022,경상남도,5280065,568085,36431971,1823975,31151905
2022,제주특별자치도,-298270,7460,194533,404895,492802
2022,강원특별자치도,-4955696,56765,2748667,712897,7704363
2022,전북특별자치도,1720873,87521,8219037,781424,6498163
2023,서울특별시,-132758313,4144471,66342181,12691213,199100494
2023,부산광역시,150838,602256,15111411,2586153,14960573
2023,대구광역시,2660880,266206,11016301,1624763,8355421
2023,인천광역시,-6605692,1258273,53801137,2566630,60406829
