연도,HS,품목명,수입건수,수입액_천USD
2020,01,살아 있는 동물,146,3844
2020,02,육과 식용 설육(屑肉),309,12487
2020,03,어류ㆍ갑각류ㆍ연체동물과 그 밖의 수생(水生) 무척추동물,322,4792
2020,04,"낙농품, 새의 알, 천연꿀, 다른 류로 분류되지 않은 식용인 동물성 생산품",4911,2801
2020,05,다른 류로 분류되지 않은 동물성 생산품,100,7433
2020,06,"살아 있는 수목과 그 밖의 식물, 인경(鱗莖)ㆍ뿌리와 이와 유사한 물품, 절화(切花)와 장식용 잎",146,1051
2020,07,식용의 채소ㆍ뿌리ㆍ괴경(塊莖),2863,8513
2020,08,"식용의 과실과 견과류, 감귤류ㆍ멜론의 껍질",2217,1747
2020,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,10363,1005
2020,10,곡물,1263,124636
2020,11,"제분공업의 생산품과 맥아, 전분, 이눌린(inulin), 밀의 글루텐(gluten)",1926,690
2020,12,"채유(採油)에 적합한 종자와 과실, 각종 종자와 과실, 공업용ㆍ의약용 식물, 짚과 사료용 식물",4722,17620
2020,13,"락(lac), 검ㆍ수지ㆍ그 밖의 식물성 수액과 추출물(extract)",696,1105
2020,14,식물성 편조물(編組物)용 재료와 다른 류로 분류되지 않은 식물성 생산품,16,49
2020,15,"동물성ㆍ식물성ㆍ미생물성 지방과 기름 및이들의 분해생산물, 조제한 식용 지방과 동물성ㆍ식물성 왁스",5240,1429
2020,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나 그 밖의 수생(水生) 무척추동물 또는 곤충의 조제품,394,1586
2020,17,당류(糖類)와 설탕과자,24793,1521
2020,18,코코아와 그 조제품,16405,434
2020,19,곡물ㆍ고운 가루ㆍ전분ㆍ밀크의 조제품과 베이커리 제품,49576,3246
2020,20,채소ㆍ과실ㆍ견과류나 식물의그 밖의 부분의 조제품,15175,11606
2020,21,각종 조제 식료품,394665,39951
2020,22,음료ㆍ주류ㆍ식초,6816,7202
2020,23,"식품 공업에서 생기는 잔재물과 웨이스트(waste), 조제 사료",4454,49736
2020,24,"담배와 제조한 담배 대용물, 연소시키지 않고흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것",720,148531
2020,25,"소금, 황, 토석류(土石類), 석고ㆍ석회ㆍ시멘트",1950,3752
2020,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),7,7
2020,27,"광물성 연료ㆍ광물유(鑛物油)와 이들의 증류물, 역청(瀝靑)물질, 광물성 왁스",156,968
2020,28,"무기화학품, 귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의 유기화합물이나 무기화합물",1587,227669
2020,29,유기화학품,3477,242838
2020,30,의료용품,30523,12822
2020,31,비료,42,878
2020,32,"유연용ㆍ염색용 추출물(extract), 탄닌과 이들의 유도체, 염료ㆍ안료와 그 밖의 착색제, 페인트ㆍ바니시(varnish), 퍼티(putty)와 그 밖의 매스틱(mastic), 잉크",1112,12628
2020,33,"정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품ㆍ화장용품",77522,16375
2020,34,비누ㆍ유기계면활성제ㆍ조제 세제ㆍ조제 윤활제ㆍ인조 왁스ㆍ조제 왁스ㆍ광택용이나 연마용 조제품ㆍ양초와 이와 유사한 물품ㆍ조형용 페이스트(paste)ㆍ치과용 왁스와 플라스터(plaster)를 기본 재료로 한 치과용 조제품,14375,4389
2020,35,"단백질계 물질, 변성전분, 글루(glue), 효소",617,5593
2020,36,"화약류, 화공품, 성냥, 발화성 합금, 특정 가연성 조제품",18,1520
2020,37,사진용이나 영화용 재료,195,286
2020,38,각종 화학공업 생산품,5681,46334
2020,39,플라스틱과 그 제품,21412,88767
2020,40,고무와 그 제품,3380,21330
2020,41,원피(모피는 제외한다)와 가죽,23,304
2020,42,"가죽제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",22110,14462
2020,43,모피ㆍ인조모피와 이들의 제품,27,23
2020,44,"목재와 그 제품, 목탄",1646,10351
2020,45,코르크(cork)와 그 제품,11,21
2020,46,"짚ㆍ에스파르토(esparto)나 그 밖의 조물 재료의 제품, 바구니 세공물(basketware)과 지조세공물(枝條細工物)",158,203
2020,47,"목재나 그 밖의 섬유질 셀룰로오스재료의 펄프, 회수한 종이ㆍ판지[웨이스트(waste)와 스크랩(scrap)]",178,12532
2020,48,"종이와 판지, 제지용 펄프ㆍ종이ㆍ판지의 제품",3849,47036
2020,49,"인쇄서적ㆍ신문ㆍ회화ㆍ그 밖의 인쇄물, 수제(手製)문서ㆍ타자문서ㆍ도면",4782,7640
2020,50,견,4,1
2020,51,양모ㆍ동물의 부드러운 털이나 거친 털ㆍ말의 털로 만든 실과 직물,29,13
2020,52,면,316,12778
2020,53,"그 밖의 식물성 방직용 섬유, 종이실(paper yarn)과 종이실로 만든 직물",10,49
2020,54,"인조필라멘트, 인조방직용 섬유재료의 스트립(strip)과 이와 유사한 것",195,3066
2020,55,인조스테이플섬유,104,1470
