HS,품목명,수입건수,수입액_천USD,건수비중%,건당USD,구분
21,각종 조제 식료품,2940872,332105,32.4,113,소비재
85,"전기기기와 그 부분품, 녹음기ㆍ음성 재생기ㆍ텔레비전의 영상과 음성의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품",831601,4640560,9.2,5580,산업재
33,"정유(essential oil)와 레지노이드(resinoid), 조제향료와 화장품ㆍ화장용품",597969,118019,6.6,197,소비재
19,곡물ㆍ고운 가루ㆍ전분ㆍ밀크의 조제품과 베이커리 제품,557233,23770,6.1,43,소비재
62,의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다),358379,134879,3.9,376,소비재
84,원자로ㆍ보일러ㆍ기계류와 이들의 부분품,353188,3986633,3.9,11288,산업재
39,플라스틱과 그 제품,285247,544176,3.1,1908,산업재
90,"광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품",250680,2061453,2.8,8223,산업재
64,"신발류ㆍ각반과 이와 유사한 것, 이들의 부분품",217972,118288,2.4,543,소비재
42,"가죽제품, 마구, 여행용구ㆍ핸드백과 이와 유사한 용기, 동물 거트(gut)[누에의 거트(gut)는 제외한다]의 제품",213452,84628,2.3,396,소비재
17,당류(糖類)와 설탕과자,201541,6129,2.2,30,소비재
61,의류와 그 부속품(메리야스 편물이나 뜨개질 편물로 한정한다),180956,75212,2.0,416,소비재
30,의료용품,180074,91356,2.0,507,소비재
20,채소ㆍ과실ㆍ견과류나 식물의그 밖의 부분의 조제품,145690,85419,1.6,586,소비재
95,완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품,128089,101105,1.4,789,소비재
73,철강의 제품,126063,413950,1.4,3284,산업재
22,음료ㆍ주류ㆍ식초,122717,65140,1.4,531,소비재
18,코코아와 그 조제품,107736,2425,1.2,23,소비재
96,잡품,101669,40169,1.1,395,소비재
