발표시간,지역,발효시각,해당지역,내용
2024-01-07 10:00,대전·세종·충청남도,(1) 한파주의보 발표 : 2024년 01월 07일 21시 00분,(1) 한파주의보 발표 : 충청남도(공주. 금산. 계룡),
2024-01-08 10:00,대전·세종·충청남도,(1) 한파주의보 해제 : 2024년 01월 08일 10시 00분,(1) 한파주의보 해제 : 충청남도(공주. 금산. 계룡),
2024-01-09 17:00,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 09일 17시 00분,(1) 대설주의보 발표 : 충청남도(천안. 아산. 예산). 세종,
2024-01-09 20:10,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 09일 20시 10분,(1) 대설주의보 발표 : 충청남도(공주. 청양. 계룡). 대전,
2024-01-09 23:00,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 01월 09일 23시 00분,(1) 대설주의보 해제 : 충청남도(천안. 아산. 청양. 예산),
2024-01-10 00:00,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 01월 10일 00시 00분,(1) 대설주의보 해제 : 충청남도(공주. 계룡),
2024-01-10 01:00,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 01월 10일 01시 00분,(1) 대설주의보 해제 : 대전. 세종,
2024-01-22 00:00,대전·세종·충청남도,(1) 풍랑주의보 발표 : 2024년 01월 22일 02시 00분 / (2) 강풍주의보 발표 : 2024년 01월 22일 03시 00분,(1) 풍랑주의보 발표 : 서해중부앞바다(충남북부앞바다. 충남남부앞바다) / (2) 강풍주의보 발표 : 충청남도(태안. 당진. 서산. 보령. 서천. 홍성),(1) 풍랑주의보 발표 /   o 해제 예고: 24일 밤(21시~24시) / (2) 강풍주의보 발표 /   o 해제 예고: 24일 밤(21시~24시)
2024-01-22 04:30,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 22일 04시 30분,(1) 대설주의보 발표 : 충청남도(천안. 아산),
2024-01-22 06:20,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 22일 06시 20분,(1) 대설주의보 발표 : 충청남도(예산). 세종,
2024-01-22 06:50,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 22일 06시 50분,(1) 대설주의보 발표 : 충청남도(보령. 서천),
2024-01-22 08:10,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 22일 08시 10분,(1) 대설주의보 발표 : 충청남도(공주),
2024-01-22 08:50,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 22일 08시 50분,(1) 대설주의보 발표 : 충청남도(태안. 서산. 홍성),
2024-01-22 09:30,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 22일 09시 30분,(1) 대설주의보 발표 : 충청남도(당진),
2024-01-22 10:00,대전·세종·충청남도,(1) 한파주의보 발표 : 2024년 01월 22일 10시 00분,(1) 한파주의보 발표 : 충청남도(천안. 공주. 청양. 계룡),
2024-01-22 11:10,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 22일 11시 10분,(1) 대설주의보 발표 : 충청남도(청양),
2024-01-22 18:00,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 01월 22일 18시 00분,(1) 대설주의보 해제 : 충청남도(공주. 청양. 예산. 서산),
2024-01-23 01:30,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 23일 01시 30분,(1) 대설주의보 발표 : 충청남도(공주. 청양. 예산),
2024-01-23 09:00,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 01월 23일 09시 00분,(1) 대설주의보 해제 : 충청남도(천안. 공주. 청양. 예산). 세종,
2024-01-23 10:00,대전·세종·충청남도,(1) 한파주의보 발표 : 2024년 01월 23일 10시 00분,(1) 한파주의보 발표 : 대전,
2024-01-23 11:00,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 01월 23일 11시 00분,(1) 대설주의보 해제 : 충청남도(아산. 당진. 홍성),
2024-01-23 16:00,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 01월 23일 16시 00분,(1) 대설주의보 해제 : 충청남도(태안),
2024-01-23 17:20,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 23일 17시 20분,(1) 대설주의보 발표 : 충청남도(천안),
2024-01-23 18:30,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 23일 18시 30분,(1) 대설주의보 발표 : 세종,
2024-01-24 03:40,대전·세종·충청남도,(1) 대설주의보 발표 : 2024년 01월 24일 03시 40분,(1) 대설주의보 발표 : 충청남도(아산),
2024-01-24 06:30,대전·세종·충청남도,(1) 대설주의보 해제 : 2024년 01월 24일 06시 30분,(1) 대설주의보 해제 : 충청남도(천안. 아산. 보령. 서천). 세종,
2024-01-24 10:00,대전·세종·충청남도,(1) 한파주의보 해제 : 2024년 01월 24일 10시 00분,(1) 한파주의보 해제 : 충청남도(공주. 청양). 대전,
