발송일자,발송관할청,발송집중국,도착집중국,운송선로편코드,운송선로명,운송거리(km),차량톤급(톤),등기소포물량(건),등기통상물량(건),국내특급물량(건)
2019-10-01,서울청,동서울우편집중국,동서울물류센터,0113027-030,동집동서울물왕2-1,1,25,1306,0,0
2019-10-01,서울청,동서울우편집중국,동서울물류센터,0113036-010,동집동서울물왕복1-1,2,110,3009,0,0
2019-10-01,서울청,동서울우편집중국,동서울물류센터,0114326-019,동집(동서울물)광진수집3-1,2,50,389,0,0
2019-10-01,서울청,동서울우편집중국,동서울물류센터,0123023-010,동서울물동집왕복1-2,2,110,975,0,0
2019-10-01,서울청,동서울우편집중국,서서울물류센터,0113037-010,동집서서울물왕복1-2,49,110,2790,0,0
2019-10-01,서울청,동서울우편집중국,서서울물류센터,0113037-020,동집서서울물왕복1-1,49,80,1079,0,0
2019-10-01,서울청,동서울우편집중국,서서울물류센터,0113038-019,동집서서울물왕1-1,24,50,1133,0,0
2019-10-01,서울청,동서울우편집중국,서서울물류센터,0432049-010,고양집동집서서울물왕복2-1,84,80,1935,0,0
2019-10-01,서울청,동서울우편집중국,부천우편집중국,0112063-070,동집부천집왕복1-2,68,110,0,17135,27348
2019-10-01,서울청,동서울우편집중국,부천우편집중국,0412036-080,부천집동집왕복1-1,68,80,27,0,65
2019-10-01,서울청,동서울우편집중국,부천우편집중국,0472048-010,부평물부천집동집왕복1-1,88,110,1,4,1255
2019-10-01,서울청,동서울우편집중국,수원우편집중국,0112061-020,동집수원집왕복1-1,77,180,1685,0,0
2019-10-01,서울청,동서울우편집중국,수원우편집중국,0112062-010,동집수원집왕2-1,39,110,3593,0,0
2019-10-01,서울청,동서울우편집중국,수원우편집중국,0112062-019,동집수원집왕1-1,39,50,927,0,0
2019-10-01,서울청,동서울우편집중국,수원우편집중국,0402020-010,수원집동집왕복1-1,77,80,929,0,23
2019-10-01,서울청,동서울우편집중국,수원우편집중국,0402020-020,수원집동집왕복2-2,77,80,937,5458,6495
2019-10-01,서울청,동서울우편집중국,의정부우편집중국,0112065-010,동집의정부집왕복1-1,56,180,1808,0,2
