구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2014년,462273,476727,551813,554944,549438,509477,547493,533129,552939,630024,643894,683218
2015년,638107,428045,762653,1008004,845806,872324,851938,785981,892364,987438,982502,937785
2016년,755304,621614,1129879,1030546,653615,621928,499013,546416,542985,565176,645108,659309
2017년,463332,576309,569246,405210,426997,400489,380650,412696,478527,407629,548928,520967
2018년,521039,388307,522023,500413,495220,462641,469972,522873,476229,642307,663762,659620
2019년,604783,464267,648132,729963,727151,631462,737119,689546,685196,708711,694219,711559
2020년,595856,594380,332326,403724,289201,458094,382134,592379,534879,682515,728374,1035584
2021년,559490,587299,902416,1975601,1776502,1867304,1749139,1750109,1904830,2037691,2188774,2474654
2022년,1872956,1341058,1681578,1422334,1377975,1385914,1281527,1439635,1521338,1578297,1805634,1798195
2023년,1487631,1654863,2064069,1357016,1412850,1453367,1252552,1384392,1351583,1557872,1719632,1668703
2024년,1479903,1203535,1607447,1673857,1620687,1456177.9,1557866.2,1456498.8,1503305,1614838,1680080.6,1893472.2
2025년,1352046.1,1402670.8,1517026.9,1572107.2,1490916,,,,,,,
