연월,항만,구분,입항_선박수,입항_총톤수,출항_선박수,출항_총톤수
202001,경인,국적선,0,0,0,0
202001,경인,외국선,5,21269,5,21269
202001,경인,연안선,6,6800,6,4444
202001,고현,국적선,27,202770,26,198670
202001,고현,외국선,1,5344,3,323291
202001,고현,연안선,145,265929,141,267280
202001,광양,국적선,251,2018879,267,2031048
202001,광양,외국선,682,21278556,683,21741189
202001,광양,연안선,929,2235202,923,2273416
202001,군산,국적선,31,625662,32,627215
202001,군산,외국선,119,2610680,127,2793780
202001,군산,연안선,103,241096,108,260293
202001,기타,국적선,0,0,0,0
202001,기타,외국선,0,0,0,0
202001,기타,연안선,16,124945,14,192686
202001,대산,국적선,89,525371,82,573773
202001,대산,외국선,205,5600409,196,5204849
202001,대산,연안선,367,811775,386,888458
202001,동해.묵호,국적선,9,96048,4,37684
202001,동해.묵호,외국선,74,767554,70,767447
202001,동해.묵호,연안선,170,909965,171,890078
202001,마산,국적선,37,602798,38,511126
202001,마산,외국선,89,3257855,88,3159389
202001,마산,연안선,303,791204,302,782161
202001,목포,국적선,11,377009,12,385279
202001,목포,외국선,50,1480711,55,1944209
202001,목포,연안선,520,1142613,524,1123628
202001,보령,국적선,1,75264,0,0
202001,보령,외국선,16,1153894,17,1264288
202001,보령,연안선,14,7398,14,7474
202001,부산,국적선,535,3991231,563,3947930
202001,부산,외국선,1610,51208961,1631,50534286
202001,부산,연안선,1673,1643934,1685,1634226
202001,삼척,국적선,1,1128,1,1128
202001,삼척,외국선,0,0,0,0
202001,삼척,연안선,60,284619,57,270185
202001,삼천포,국적선,2,91998,3,117072
202001,삼천포,외국선,8,258710,7,214563
202001,삼천포,연안선,85,72599,86,83213
202001,서귀포,국적선,0,0,0,0
202001,서귀포,외국선,0,0,0,0
202001,서귀포,연안선,446,136678,448,140673
202001,속초,국적선,0,0,0,0
202001,속초,외국선,3,2201,4,3794
202001,속초,연안선,10,20002,9,19940
202001,여수,국적선,17,119982,16,113590
202001,여수,외국선,192,8302934,188,8176844
202001,여수,연안선,418,253579,420,255056
202001,옥계,국적선,2,2760,2,2760
202001,옥계,외국선,4,72181,5,96824
202001,옥계,연안선,45,168403,46,176166
